,Zone,Lower_left,Upper_right,Center,Super_center,Super_center_nr
162,163,"[10.802511, 59.914309]","[10.811245, 59.918846]","[10.806878, 59.916577]","[10.802511, 59.918846]",32.0
163,164,"[10.793777, 59.914309]","[10.802511, 59.918846]","[10.798144, 59.916577]","[10.802511, 59.918846]",32.0
164,165,"[10.785043, 59.914309]","[10.793777, 59.918846]","[10.78941, 59.916577]","[10.785043, 59.918846]",33.0
165,166,"[10.776308, 59.914309]","[10.785043, 59.918846]","[10.780676, 59.916577]","[10.785043, 59.918846]",33.0
166,167,"[10.767574, 59.914309]","[10.776309, 59.918846]","[10.771941, 59.916577]","[10.767574, 59.918846]",34.0
167,168,"[10.75884, 59.914309]","[10.767574, 59.918846]","[10.763207, 59.916577]","[10.767574, 59.918846]",34.0
168,169,"[10.750106, 59.914309]","[10.75884, 59.918846]","[10.754473, 59.916577]","[10.750106, 59.918846]",35.0
169,170,"[10.741372, 59.914309]","[10.750106, 59.918846]","[10.745739, 59.916577]","[10.750106, 59.918846]",35.0
170,171,"[10.732638, 59.914309]","[10.741372, 59.918846]","[10.737005, 59.916577]","[10.737005, 59.916577]",74.0
171,172,"[10.71517, 59.914309]","[10.723904, 59.918846]","[10.719537, 59.916577]","[10.71517, 59.914309]",38.0
172,173,"[10.706436, 59.914309]","[10.71517, 59.918846]","[10.710803, 59.916577]","[10.71517, 59.914309]",38.0
173,174,"[10.697702, 59.914309]","[10.706436, 59.918846]","[10.702069, 59.916577]","[10.702069, 59.916577]",75.0
174,175,"[10.688968, 59.914309]","[10.697702, 59.918846]","[10.693335, 59.916577]","[10.693335, 59.916577]",76.0
175,176,"[10.662766, 59.914309]","[10.6715, 59.918846]","[10.667133, 59.916577]","[10.662766, 59.918846]",36.0
176,177,"[10.654032, 59.914309]","[10.662766, 59.918846]","[10.658399, 59.916577]","[10.662766, 59.918846]",36.0
177,178,"[10.645298, 59.914309]","[10.654032, 59.918846]","[10.649665, 59.916577]","[10.645298, 59.918846]",37.0
178,179,"[10.636564, 59.914309]","[10.645298, 59.918846]","[10.640931, 59.916577]","[10.645298, 59.918846]",37.0
179,180,"[10.62783, 59.914309]","[10.636564, 59.918846]","[10.632197, 59.916577]","[10.632197, 59.916577]",77.0
180,181,"[10.811245, 59.909772]","[10.819979, 59.914309]","[10.815612, 59.912041]","[10.811245, 59.909772]",39.0
181,182,"[10.802511, 59.909772]","[10.811245, 59.914309]","[10.806878, 59.912041]","[10.811245, 59.909772]",39.0
182,183,"[10.793777, 59.909772]","[10.802511, 59.914309]","[10.798144, 59.912041]","[10.793777, 59.909772]",40.0
183,184,"[10.785043, 59.909772]","[10.793777, 59.914309]","[10.78941, 59.912041]","[10.793777, 59.909772]",40.0
184,185,"[10.776308, 59.909772]","[10.785043, 59.914309]","[10.780676, 59.912041]","[10.780676, 59.912041]",78.0
185,186,"[10.767574, 59.909772]","[10.776309, 59.914309]","[10.771941, 59.912041]","[10.767574, 59.909772]",41.0
186,187,"[10.75884, 59.909772]","[10.767574, 59.914309]","[10.763207, 59.912041]","[10.767574, 59.909772]",41.0
187,188,"[10.750106, 59.909772]","[10.75884, 59.914309]","[10.754473, 59.912041]","[10.754473, 59.912041]",79.0
188,189,"[10.741372, 59.909772]","[10.750106, 59.914309]","[10.745739, 59.912041]","[10.745739, 59.912041]",80.0
189,190,"[10.723904, 59.909772]","[10.732638, 59.914309]","[10.728271, 59.912041]","[10.728271, 59.912041]",81.0
190,191,"[10.71517, 59.909772]","[10.723904, 59.914309]","[10.719537, 59.912041]","[10.71517, 59.914309]",38.0
191,192,"[10.706436, 59.909772]","[10.71517, 59.914309]","[10.710803, 59.912041]","[10.71517, 59.914309]",38.0
192,193,"[10.697702, 59.909772]","[10.706436, 59.914309]","[10.702069, 59.912041]","[10.702069, 59.912041]",82.0
193,194,"[10.636564, 59.909772]","[10.645298, 59.914309]","[10.640931, 59.912041]","[10.640931, 59.912041]",83.0
194,195,"[10.62783, 59.909772]","[10.636564, 59.914309]","[10.632197, 59.912041]","[10.632197, 59.912041]",84.0
195,196,"[10.811245, 59.905235]","[10.819979, 59.909772]","[10.815612, 59.907504]","[10.811245, 59.909772]",39.0
196,197,"[10.802511, 59.905235]","[10.811245, 59.909772]","[10.806878, 59.907504]","[10.811245, 59.909772]",39.0
