,Zone,Lower Left,Upper Right,Center
157,158,"[10.645298125, 59.91884576923077]","[10.65403215, 59.92338253846154]","[10.649665137500001, 59.921114153846155]"
158,159,"[10.6365641, 59.91884576923077]","[10.645298125, 59.92338253846154]","[10.640931112499999, 59.921114153846155]"
159,160,"[10.627830075, 59.91884576923077]","[10.636564100000001, 59.92338253846154]","[10.6321970875, 59.921114153846155]"
160,161,"[10.819978625, 59.914308999999996]","[10.82871265, 59.918845769230764]","[10.824345637499999, 59.91657738461538]"
161,162,"[10.8112446, 59.914308999999996]","[10.819978625000001, 59.918845769230764]","[10.8156116125, 59.91657738461538]"
162,163,"[10.802510575, 59.914308999999996]","[10.8112446, 59.918845769230764]","[10.8068775875, 59.91657738461538]"
163,164,"[10.79377655, 59.914308999999996]","[10.802510575000001, 59.918845769230764]","[10.798143562500002, 59.91657738461538]"
164,165,"[10.785042525, 59.914308999999996]","[10.79377655, 59.918845769230764]","[10.7894095375, 59.91657738461538]"
165,166,"[10.776308499999999, 59.914308999999996]","[10.785042525, 59.918845769230764]","[10.7806755125, 59.91657738461538]"
166,167,"[10.767574475, 59.914308999999996]","[10.7763085, 59.918845769230764]","[10.771941487500001, 59.91657738461538]"
167,168,"[10.75884045, 59.914308999999996]","[10.767574475, 59.918845769230764]","[10.763207462499999, 59.91657738461538]"
168,169,"[10.750106425, 59.914308999999996]","[10.758840450000001, 59.918845769230764]","[10.7544734375, 59.91657738461538]"
169,170,"[10.7413724, 59.914308999999996]","[10.750106425, 59.918845769230764]","[10.7457394125, 59.91657738461538]"
170,171,"[10.732638375, 59.914308999999996]","[10.741372400000001, 59.918845769230764]","[10.737005387500002, 59.91657738461538]"
171,172,"[10.715170324999999, 59.914308999999996]","[10.72390435, 59.918845769230764]","[10.7195373375, 59.91657738461538]"
172,173,"[10.7064363, 59.914308999999996]","[10.715170325, 59.918845769230764]","[10.710803312500001, 59.91657738461538]"
173,174,"[10.697702275, 59.914308999999996]","[10.7064363, 59.918845769230764]","[10.702069287499999, 59.91657738461538]"
174,175,"[10.68896825, 59.914308999999996]","[10.697702275000001, 59.918845769230764]","[10.6933352625, 59.91657738461538]"
175,176,"[10.662766175, 59.914308999999996]","[10.6715002, 59.918845769230764]","[10.6671331875, 59.91657738461538]"
176,177,"[10.654032149999999, 59.914308999999996]","[10.662766175, 59.918845769230764]","[10.6583991625, 59.91657738461538]"
177,178,"[10.645298125, 59.914308999999996]","[10.65403215, 59.918845769230764]","[10.649665137500001, 59.91657738461538]"
178,179,"[10.6365641, 59.914308999999996]","[10.645298125, 59.918845769230764]","[10.640931112499999, 59.91657738461538]"
179,180,"[10.627830075, 59.914308999999996]","[10.636564100000001, 59.918845769230764]","[10.6321970875, 59.91657738461538]"
180,181,"[10.8112446, 59.90977223076923]","[10.819978625000001, 59.914308999999996]","[10.8156116125, 59.91204061538461]"
181,182,"[10.802510575, 59.90977223076923]","[10.8112446, 59.914308999999996]","[10.8068775875, 59.91204061538461]"
182,183,"[10.79377655, 59.90977223076923]","[10.802510575000001, 59.914308999999996]","[10.798143562500002, 59.91204061538461]"
183,184,"[10.785042525, 59.90977223076923]","[10.79377655, 59.914308999999996]","[10.7894095375, 59.91204061538461]"
184,185,"[10.776308499999999, 59.90977223076923]","[10.785042525, 59.914308999999996]","[10.7806755125, 59.91204061538461]"
185,186,"[10.767574475, 59.90977223076923]","[10.7763085, 59.914308999999996]","[10.771941487500001, 59.91204061538461]"
186,187,"[10.75884045, 59.90977223076923]","[10.767574475, 59.914308999999996]","[10.763207462499999, 59.91204061538461]"
187,188,"[10.750106425, 59.90977223076923]","[10.758840450000001, 59.914308999999996]","[10.7544734375, 59.91204061538461]"
188,189,"[10.7413724, 59.90977223076923]","[10.750106425, 59.914308999999996]","[10.7457394125, 59.91204061538461]"
189,190,"[10.72390435, 59.90977223076923]","[10.732638375, 59.914308999999996]","[10.7282713625, 59.91204061538461]"
190,191,"[10.715170324999999, 59.90977223076923]","[10.72390435, 59.914308999999996]","[10.7195373375, 59.91204061538461]"
191,192,"[10.7064363, 59.90977223076923]","[10.715170325, 59.914308999999996]","[10.710803312500001, 59.91204061538461]"
192,193,"[10.697702275, 59.90977223076923]","[10.7064363, 59.914308999999996]","[10.702069287499999, 59.91204061538461]"
193,194,"[10.6365641, 59.90977223076923]","[10.645298125, 59.914308999999996]","[10.640931112499999, 59.91204061538461]"
194,195,"[10.627830075, 59.90977223076923]","[10.636564100000001, 59.914308999999996]","[10.6321970875, 59.91204061538461]"
195,196,"[10.8112446, 59.90523546153846]","[10.819978625000001, 59.90977223076923]","[10.8156116125, 59.907503846153844]"
196,197,"[10.802510575, 59.90523546153846]","[10.8112446, 59.90977223076923]","[10.8068775875, 59.907503846153844]"
197,198,"[10.79377655, 59.90523546153846]","[10.802510575000001, 59.90977223076923]","[10.798143562500002, 59.907503846153844]"
198,199,"[10.785042525, 59.90523546153846]","[10.79377655, 59.90977223076923]","[10.7894095375, 59.907503846153844]"
199,200,"[10.776308499999999, 59.90523546153846]","[10.785042525, 59.90977223076923]","[10.7806755125, 59.907503846153844]"
200,201,"[10.767574475, 59.90523546153846]","[10.7763085, 59.90977223076923]","[10.771941487500001, 59.907503846153844]"
201,202,"[10.75884045, 59.90523546153846]","[10.767574475, 59.90977223076923]","[10.763207462499999, 59.907503846153844]"
202,203,"[10.7413724, 59.90523546153846]","[10.750106425, 59.90977223076923]","[10.7457394125, 59.907503846153844]"
203,204,"[10.61909605, 59.90523546153846]","[10.627830075, 59.90977223076923]","[10.6234630625, 59.907503846153844]"
204,205,"[10.802510575, 59.90069869230769]","[10.8112446, 59.90523546153846]","[10.8068775875, 59.902967076923076]"
205,206,"[10.79377655, 59.90069869230769]","[10.802510575000001, 59.90523546153846]","[10.798143562500002, 59.902967076923076]"
206,207,"[10.785042525, 59.90069869230769]","[10.79377655, 59.90523546153846]","[10.7894095375, 59.902967076923076]"
207,208,"[10.776308499999999, 59.90069869230769]","[10.785042525, 59.90523546153846]","[10.7806755125, 59.902967076923076]"
208,209,"[10.767574475, 59.90069869230769]","[10.7763085, 59.90523546153846]","[10.771941487500001, 59.902967076923076]"
209,210,"[10.75884045, 59.90069869230769]","[10.767574475, 59.90523546153846]","[10.763207462499999, 59.902967076923076]"
210,211,"[10.61909605, 59.90069869230769]","[10.627830075, 59.90523546153846]","[10.6234630625, 59.902967076923076]"
211,212,"[10.8112446, 59.896161923076924]","[10.819978625000001, 59.90069869230769]","[10.8156116125, 59.89843030769231]"
212,213,"[10.802510575, 59.896161923076924]","[10.8112446, 59.90069869230769]","[10.8068775875, 59.89843030769231]"
213,214,"[10.79377655, 59.896161923076924]","[10.802510575000001, 59.90069869230769]","[10.798143562500002, 59.89843030769231]"
214,215,"[10.785042525, 59.896161923076924]","[10.79377655, 59.90069869230769]","[10.7894095375, 59.89843030769231]"
215,216,"[10.776308499999999, 59.896161923076924]","[10.785042525, 59.90069869230769]","[10.7806755125, 59.89843030769231]"
216,217,"[10.627830075, 59.896161923076924]","[10.636564100000001, 59.90069869230769]","[10.6321970875, 59.89843030769231]"
217,218,"[10.61909605, 59.896161923076924]","[10.627830075, 59.90069869230769]","[10.6234630625, 59.89843030769231]"
218,219,"[10.819978625, 59.89162515384616]","[10.82871265, 59.896161923076924]","[10.824345637499999, 59.89389353846154]"
219,220,"[10.8112446, 59.89162515384616]","[10.819978625000001, 59.896161923076924]","[10.8156116125, 59.89389353846154]"
220,221,"[10.802510575, 59.89162515384616]","[10.8112446, 59.896161923076924]","[10.8068775875, 59.89389353846154]"
221,222,"[10.79377655, 59.89162515384616]","[10.802510575000001, 59.896161923076924]","[10.798143562500002, 59.89389353846154]"
222,223,"[10.785042525, 59.89162515384616]","[10.79377655, 59.896161923076924]","[10.7894095375, 59.89389353846154]"
223,224,"[10.776308499999999, 59.89162515384616]","[10.785042525, 59.896161923076924]","[10.7806755125, 59.89389353846154]"
224,225,"[10.627830075, 59.89162515384616]","[10.636564100000001, 59.896161923076924]","[10.6321970875, 59.89389353846154]"
225,226,"[10.79377655, 59.88708838461538]","[10.802510575000001, 59.89162515384615]","[10.798143562500002, 59.889356769230766]"
226,227,"[10.776308499999999, 59.88708838461538]","[10.785042525, 59.89162515384615]","[10.7806755125, 59.889356769230766]"
227,228,"[10.767574475, 59.88708838461538]","[10.7763085, 59.89162515384615]","[10.771941487500001, 59.889356769230766]"
228,229,"[10.802510575, 59.882551615384614]","[10.8112446, 59.88708838461538]","[10.8068775875, 59.88482]"
229,230,"[10.79377655, 59.882551615384614]","[10.802510575000001, 59.88708838461538]","[10.798143562500002, 59.88482]"
230,231,"[10.785042525, 59.882551615384614]","[10.79377655, 59.88708838461538]","[10.7894095375, 59.88482]"
231,232,"[10.776308499999999, 59.882551615384614]","[10.785042525, 59.88708838461538]","[10.7806755125, 59.88482]"
232,233,"[10.819978625, 59.878014846153846]","[10.82871265, 59.882551615384614]","[10.824345637499999, 59.88028323076923]"
233,234,"[10.802510575, 59.878014846153846]","[10.8112446, 59.882551615384614]","[10.8068775875, 59.88028323076923]"
234,235,"[10.79377655, 59.878014846153846]","[10.802510575000001, 59.882551615384614]","[10.798143562500002, 59.88028323076923]"
235,236,"[10.785042525, 59.878014846153846]","[10.79377655, 59.882551615384614]","[10.7894095375, 59.88028323076923]"
236,237,"[10.776308499999999, 59.878014846153846]","[10.785042525, 59.882551615384614]","[10.7806755125, 59.88028323076923]"
237,238,"[10.819978625, 59.87347807692308]","[10.82871265, 59.878014846153846]","[10.824345637499999, 59.87574646153846]"
238,239,"[10.8112446, 59.87347807692308]","[10.819978625000001, 59.878014846153846]","[10.8156116125, 59.87574646153846]"
239,240,"[10.802510575, 59.87347807692308]","[10.8112446, 59.878014846153846]","[10.8068775875, 59.87574646153846]"
240,241,"[10.79377655, 59.87347807692308]","[10.802510575000001, 59.878014846153846]","[10.798143562500002, 59.87574646153846]"
241,242,"[10.785042525, 59.87347807692308]","[10.79377655, 59.878014846153846]","[10.7894095375, 59.87574646153846]"
242,243,"[10.776308499999999, 59.87347807692308]","[10.785042525, 59.878014846153846]","[10.7806755125, 59.87574646153846]"
