,Zone,Lower Left,Upper Right,Center
67,68,"[10.767574475, 59.93699284615384]","[10.7763085, 59.94152961538461]","[10.771941487500001, 59.939261230769226]"
68,69,"[10.75884045, 59.93699284615384]","[10.767574475, 59.94152961538461]","[10.763207462499999, 59.939261230769226]"
69,70,"[10.750106425, 59.93699284615384]","[10.758840450000001, 59.94152961538461]","[10.7544734375, 59.939261230769226]"
70,71,"[10.7413724, 59.93699284615384]","[10.750106425, 59.94152961538461]","[10.7457394125, 59.939261230769226]"
71,72,"[10.732638375, 59.93699284615384]","[10.741372400000001, 59.94152961538461]","[10.737005387500002, 59.939261230769226]"
72,73,"[10.72390435, 59.93699284615384]","[10.732638375, 59.94152961538461]","[10.7282713625, 59.939261230769226]"
73,74,"[10.715170324999999, 59.93699284615384]","[10.72390435, 59.94152961538461]","[10.7195373375, 59.939261230769226]"
74,75,"[10.7064363, 59.93699284615384]","[10.715170325, 59.94152961538461]","[10.710803312500001, 59.939261230769226]"
75,76,"[10.697702275, 59.93699284615384]","[10.7064363, 59.94152961538461]","[10.702069287499999, 59.939261230769226]"
76,77,"[10.68896825, 59.93699284615384]","[10.697702275000001, 59.94152961538461]","[10.6933352625, 59.939261230769226]"
77,78,"[10.680234225, 59.93699284615384]","[10.68896825, 59.94152961538461]","[10.6846012375, 59.939261230769226]"
78,79,"[10.86364875, 59.932456076923074]","[10.872382775, 59.93699284615384]","[10.8680157625, 59.93472446153846]"
79,80,"[10.82871265, 59.932456076923074]","[10.837446675, 59.93699284615384]","[10.833079662500001, 59.93472446153846]"
80,81,"[10.819978625, 59.932456076923074]","[10.82871265, 59.93699284615384]","[10.824345637499999, 59.93472446153846]"
81,82,"[10.8112446, 59.932456076923074]","[10.819978625000001, 59.93699284615384]","[10.8156116125, 59.93472446153846]"
82,83,"[10.802510575, 59.932456076923074]","[10.8112446, 59.93699284615384]","[10.8068775875, 59.93472446153846]"
83,84,"[10.79377655, 59.932456076923074]","[10.802510575000001, 59.93699284615384]","[10.798143562500002, 59.93472446153846]"
84,85,"[10.785042525, 59.932456076923074]","[10.79377655, 59.93699284615384]","[10.7894095375, 59.93472446153846]"
85,86,"[10.776308499999999, 59.932456076923074]","[10.785042525, 59.93699284615384]","[10.7806755125, 59.93472446153846]"
86,87,"[10.767574475, 59.932456076923074]","[10.7763085, 59.93699284615384]","[10.771941487500001, 59.93472446153846]"
87,88,"[10.75884045, 59.932456076923074]","[10.767574475, 59.93699284615384]","[10.763207462499999, 59.93472446153846]"
88,89,"[10.750106425, 59.932456076923074]","[10.758840450000001, 59.93699284615384]","[10.7544734375, 59.93472446153846]"
89,90,"[10.7413724, 59.932456076923074]","[10.750106425, 59.93699284615384]","[10.7457394125, 59.93472446153846]"
90,91,"[10.732638375, 59.932456076923074]","[10.741372400000001, 59.93699284615384]","[10.737005387500002, 59.93472446153846]"
91,92,"[10.72390435, 59.932456076923074]","[10.732638375, 59.93699284615384]","[10.7282713625, 59.93472446153846]"
92,93,"[10.715170324999999, 59.932456076923074]","[10.72390435, 59.93699284615384]","[10.7195373375, 59.93472446153846]"
93,94,"[10.7064363, 59.932456076923074]","[10.715170325, 59.93699284615384]","[10.710803312500001, 59.93472446153846]"
94,95,"[10.697702275, 59.932456076923074]","[10.7064363, 59.93699284615384]","[10.702069287499999, 59.93472446153846]"
95,96,"[10.68896825, 59.932456076923074]","[10.697702275000001, 59.93699284615384]","[10.6933352625, 59.93472446153846]"
96,97,"[10.680234225, 59.932456076923074]","[10.68896825, 59.93699284615384]","[10.6846012375, 59.93472446153846]"
97,98,"[10.6715002, 59.932456076923074]","[10.680234225000001, 59.93699284615384]","[10.675867212500002, 59.93472446153846]"
98,99,"[10.82871265, 59.92791930769231]","[10.837446675, 59.932456076923074]","[10.833079662500001, 59.93018769230769]"
99,100,"[10.8112446, 59.92791930769231]","[10.819978625000001, 59.932456076923074]","[10.8156116125, 59.93018769230769]"
100,101,"[10.802510575, 59.92791930769231]","[10.8112446, 59.932456076923074]","[10.8068775875, 59.93018769230769]"
101,102,"[10.79377655, 59.92791930769231]","[10.802510575000001, 59.932456076923074]","[10.798143562500002, 59.93018769230769]"
102,103,"[10.785042525, 59.92791930769231]","[10.79377655, 59.932456076923074]","[10.7894095375, 59.93018769230769]"
103,104,"[10.776308499999999, 59.92791930769231]","[10.785042525, 59.932456076923074]","[10.7806755125, 59.93018769230769]"
