,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
24,9,Morning,"{""0"": 329, ""1"": 31, ""2"": 5}","{""0"": 339, ""1"": 25, ""3"": 1, ""2"": 0}","[0.901, 0.085, 0.014]","[0.929, 0.068, 0.0, 0.003]"
25,9,Day,"{""0"": 322, ""1"": 40, ""2"": 3}","{""0"": 330, ""1"": 31, ""2"": 3, ""3"": 1}","[0.882, 0.11, 0.008]","[0.904, 0.085, 0.008, 0.003]"
26,9,Evening,"{""0"": 317, ""1"": 41, ""2"": 6, ""3"": 1}","{""0"": 289, ""1"": 67, ""2"": 7, ""3"": 1, ""4"": 1}","[0.868, 0.112, 0.016, 0.003]","[0.792, 0.184, 0.019, 0.003, 0.003]"
27,10,Morning,"{""0"": 316, ""1"": 46, ""2"": 3}","{""0"": 355, ""1"": 9, ""2"": 1}","[0.866, 0.126, 0.008]","[0.973, 0.025, 0.003]"
28,10,Day,"{""0"": 305, ""1"": 53, ""2"": 7}","{""0"": 326, ""1"": 32, ""2"": 7}","[0.836, 0.145, 0.019]","[0.893, 0.088, 0.019]"
29,10,Evening,"{""0"": 271, ""1"": 79, ""2"": 13, ""3"": 2}","{""0"": 225, ""1"": 101, ""2"": 33, ""3"": 5, ""4"": 1}","[0.742, 0.216, 0.036, 0.005]","[0.616, 0.277, 0.09, 0.014, 0.003]"
30,11,Morning,"{""0"": 328, ""1"": 30, ""2"": 6, ""3"": 1}","{""0"": 356, ""1"": 7, ""2"": 2}","[0.899, 0.082, 0.016, 0.003]","[0.975, 0.019, 0.005]"
31,11,Day,"{""0"": 311, ""1"": 45, ""2"": 9}","{""0"": 324, ""1"": 37, ""2"": 4}","[0.852, 0.123, 0.025]","[0.888, 0.101, 0.011]"
32,11,Evening,"{""0"": 306, ""1"": 52, ""2"": 4, ""3"": 2, ""4"": 1}","{""0"": 291, ""1"": 55, ""2"": 14, ""3"": 4, ""4"": 1}","[0.838, 0.142, 0.011, 0.005, 0.003]","[0.797, 0.151, 0.038, 0.011, 0.003]"
33,12,Morning,"{""0"": 295, ""1"": 59, ""2"": 9, ""3"": 1, ""4"": 1}","{""0"": 346, ""1"": 19}","[0.808, 0.162, 0.025, 0.003, 0.003]","[0.948, 0.052]"
34,12,Day,"{""0"": 327, ""1"": 34, ""2"": 4}","{""0"": 324, ""1"": 37, ""2"": 4}","[0.896, 0.093, 0.011]","[0.888, 0.101, 0.011]"
35,12,Evening,"{""0"": 265, ""1"": 64, ""2"": 29, ""3"": 7}","{""0"": 233, ""1"": 89, ""2"": 26, ""3"": 15, ""4"": 1, ""5"": 1}","[0.726, 0.175, 0.079, 0.019]","[0.638, 0.244, 0.071, 0.041, 0.003, 0.003]"
36,13,Morning,"{""0"": 302, ""1"": 53, ""2"": 9, ""3"": 1}","{""0"": 364, ""1"": 1}","[0.827, 0.145, 0.025, 0.003]","[0.997, 0.003]"
37,13,Day,"{""0"": 337, ""1"": 26, ""2"": 2}","{""0"": 327, ""1"": 34, ""2"": 4}","[0.923, 0.071, 0.005]","[0.896, 0.093, 0.011]"
38,13,Evening,"{""0"": 297, ""1"": 60, ""2"": 8}","{""0"": 245, ""1"": 95, ""2"": 20, ""3"": 5}","[0.814, 0.164, 0.022]","[0.671, 0.26, 0.055, 0.014]"
39,14,Morning,"{""0"": 270, ""1"": 81, ""2"": 12, ""3"": 2}","{""0"": 333, ""1"": 32}","[0.74, 0.222, 0.033, 0.005]","[0.912, 0.088]"
40,14,Day,"{""0"": 300, ""1"": 60, ""2"": 5}","{""0"": 297, ""1"": 54, ""2"": 12, ""3"": 1, ""5"": 1, ""4"": 0}","[0.822, 0.164, 0.014]","[0.814, 0.148, 0.033, 0.003, 0.0, 0.003]"
41,14,Evening,"{""0"": 238, ""1"": 92, ""2"": 27, ""3"": 6, ""4"": 2}","{""0"": 199, ""1"": 109, ""2"": 45, ""3"": 11, ""5"": 1, ""4"": 0}","[0.652, 0.252, 0.074, 0.016, 0.005]","[0.545, 0.299, 0.123, 0.03, 0.0, 0.003]"
42,15,Morning,"{""0"": 293, ""1"": 53, ""2"": 14, ""3"": 5}","{""0"": 324, ""1"": 37, ""2"": 4}","[0.803, 0.145, 0.038, 0.014]","[0.888, 0.101, 0.011]"
43,15,Day,"{""0"": 293, ""1"": 59, ""2"": 9, ""3"": 4}","{""0"": 298, ""1"": 53, ""2"": 10, ""3"": 3, ""5"": 1, ""4"": 0}","[0.803, 0.162, 0.025, 0.011]","[0.816, 0.145, 0.027, 0.008, 0.0, 0.003]"
44,15,Evening,"{""0"": 249, ""1"": 75, ""2"": 33, ""3"": 8}","{""0"": 236, ""1"": 83, ""2"": 29, ""3"": 13, ""4"": 3, ""5"": 1}","[0.682, 0.205, 0.09, 0.022]","[0.647, 0.227, 0.079, 0.036, 0.008, 0.003]"
45,16,Morning,"{""0"": 336, ""1"": 28, ""3"": 1, ""2"": 0}","{""0"": 362, ""1"": 2, ""2"": 1}","[0.921, 0.077, 0.0, 0.003]","[0.992, 0.005, 0.003]"
46,16,Day,"{""0"": 360, ""1"": 4, ""2"": 1}","{""0"": 352, ""1"": 13}","[0.986, 0.011, 0.003]","[0.964, 0.036]"
47,16,Evening,"{""0"": 336, ""1"": 27, ""2"": 2}","{""0"": 316, ""1"": 45, ""2"": 4}","[0.921, 0.074, 0.005]","[0.866, 0.123, 0.011]"
48,17,Morning,"{""0"": 314, ""1"": 51}","{""0"": 332, ""1"": 32, ""2"": 1}","[0.86, 0.14]","[0.91, 0.088, 0.003]"
49,17,Day,"{""0"": 324, ""1"": 39, ""2"": 2}","{""0"": 320, ""1"": 39, ""2"": 5, ""3"": 1}","[0.888, 0.107, 0.005]","[0.877, 0.107, 0.014, 0.003]"
50,17,Evening,"{""0"": 316, ""1"": 42, ""2"": 7}","{""0"": 292, ""1"": 64, ""2"": 9}","[0.866, 0.115, 0.019]","[0.8, 0.175, 0.025]"
51,18,Morning,"{""0"": 294, ""1"": 61, ""2"": 10}","{""0"": 330, ""1"": 35}","[0.805, 0.167, 0.027]","[0.904, 0.096]"
52,18,Day,"{""0"": 289, ""1"": 63, ""2"": 13}","{""0"": 313, ""1"": 44, ""2"": 8}","[0.792, 0.173, 0.036]","[0.858, 0.121, 0.022]"
53,18,Evening,"{""0"": 264, ""1"": 79, ""2"": 14, ""3"": 7, ""4"": 1}","{""0"": 232, ""1"": 95, ""2"": 34, ""3"": 4}","[0.723, 0.216, 0.038, 0.019, 0.003]","[0.636, 0.26, 0.093, 0.011]"
54,19,Morning,"{""0"": 345, ""1"": 20}","{""0"": 361, ""1"": 4}","[0.945, 0.055]","[0.989, 0.011]"
55,19,Day,"{""0"": 340, ""1"": 24, ""3"": 1, ""2"": 0}","{""0"": 336, ""1"": 27, ""2"": 2}","[0.932, 0.066, 0.0, 0.003]","[0.921, 0.074, 0.005]"
56,19,Evening,"{""0"": 295, ""1"": 62, ""2"": 7, ""3"": 1}","{""0"": 285, ""1"": 67, ""2"": 12, ""3"": 1}","[0.808, 0.17, 0.019, 0.003]","[0.781, 0.184, 0.033, 0.003]"
57,20,Morning,"{""0"": 335, ""1"": 29, ""2"": 1}","{""0"": 338, ""1"": 27}","[0.918, 0.079, 0.003]","[0.926, 0.074]"
58,20,Day,"{""0"": 337, ""1"": 28}","{""0"": 329, ""1"": 34, ""2"": 2}","[0.923, 0.077]","[0.901, 0.093, 0.005]"
59,20,Evening,"{""0"": 305, ""1"": 51, ""2"": 9}","{""0"": 306, ""1"": 47, ""2"": 12}","[0.836, 0.14, 0.025]","[0.838, 0.129, 0.033]"
60,21,Morning,"{""0"": 330, ""1"": 29, ""2"": 5, ""3"": 1}","{""0"": 336, ""1"": 29}","[0.904, 0.079, 0.014, 0.003]","[0.921, 0.079]"
61,21,Day,"{""0"": 321, ""1"": 39, ""2"": 4, ""3"": 1}","{""0"": 337, ""1"": 24, ""2"": 3, ""3"": 1}","[0.879, 0.107, 0.011, 0.003]","[0.923, 0.066, 0.008, 0.003]"
62,21,Evening,"{""0"": 295, ""1"": 66, ""2"": 3, ""3"": 1}","{""0"": 294, ""1"": 53, ""2"": 16, ""3"": 2}","[0.808, 0.181, 0.008, 0.003]","[0.805, 0.145, 0.044, 0.005]"
63,22,Morning,"{""0"": 346, ""1"": 19}","{""0"": 354, ""1"": 10, ""2"": 1}","[0.948, 0.052]","[0.97, 0.027, 0.003]"
64,22,Day,"{""0"": 338, ""1"": 23, ""2"": 3, ""3"": 1}","{""0"": 339, ""1"": 23, ""2"": 3}","[0.926, 0.063, 0.008, 0.003]","[0.929, 0.063, 0.008]"
65,22,Evening,"{""0"": 337, ""1"": 25, ""2"": 3}","{""0"": 317, ""1"": 43, ""2"": 5}","[0.923, 0.068, 0.008]","[0.868, 0.118, 0.014]"
66,23,Morning,"{""0"": 318, ""1"": 40, ""2"": 5, ""3"": 2}","{""0"": 359, ""1"": 6}","[0.871, 0.11, 0.014, 0.005]","[0.984, 0.016]"
67,23,Day,"{""0"": 299, ""1"": 54, ""2"": 12}","{""0"": 309, ""1"": 50, ""2"": 6}","[0.819, 0.148, 0.033]","[0.847, 0.137, 0.016]"
68,23,Evening,"{""0"": 265, ""1"": 84, ""2"": 13, ""3"": 1, ""4"": 1, ""5"": 1}","{""0"": 237, ""1"": 92, ""2"": 28, ""3"": 6, ""5"": 1, ""6"": 1, ""4"": 0}","[0.726, 0.23, 0.036, 0.003, 0.003, 0.003]","[0.649, 0.252, 0.077, 0.016, 0.0, 0.003, 0.003]"
69,24,Morning,"{""0"": 321, ""1"": 39, ""2"": 5}","{""0"": 350, ""1"": 14, ""2"": 1}","[0.879, 0.107, 0.014]","[0.959, 0.038, 0.003]"
70,24,Day,"{""0"": 317, ""1"": 40, ""2"": 5, ""3"": 3}","{""0"": 318, ""1"": 36, ""2"": 9, ""3"": 1, ""4"": 1}","[0.868, 0.11, 0.014, 0.008]","[0.871, 0.099, 0.025, 0.003, 0.003]"
71,24,Evening,"{""0"": 319, ""1"": 34, ""2"": 12}","{""0"": 292, ""1"": 59, ""2"": 13, ""3"": 1}","[0.874, 0.093, 0.033]","[0.8, 0.162, 0.036, 0.003]"
72,25,Morning,"{""0"": 352, ""1"": 13}","{""0"": 357, ""1"": 6, ""2"": 2}","[0.964, 0.036]","[0.978, 0.016, 0.005]"
73,25,Day,"{""0"": 350, ""1"": 15}","{""0"": 340, ""1"": 25}","[0.959, 0.041]","[0.932, 0.068]"
74,25,Evening,"{""0"": 330, ""1"": 32, ""2"": 3}","{""0"": 317, ""1"": 47, ""2"": 1}","[0.904, 0.088, 0.008]","[0.868, 0.129, 0.003]"
75,26,Morning,"{""0"": 291, ""1"": 62, ""2"": 12}","{""0"": 349, ""1"": 16}","[0.797, 0.17, 0.033]","[0.956, 0.044]"
76,26,Day,"{""0"": 315, ""1"": 42, ""2"": 6, ""3"": 2}","{""0"": 323, ""1"": 36, ""2"": 4, ""3"": 1, ""4"": 1}","[0.863, 0.115, 0.016, 0.005]","[0.885, 0.099, 0.011, 0.003, 0.003]"
77,26,Evening,"{""0"": 273, ""1"": 78, ""2"": 13, ""5"": 1, ""3"": 0, ""4"": 0}","{""0"": 240, ""1"": 91, ""2"": 26, ""3"": 6, ""4"": 1, ""5"": 1}","[0.748, 0.214, 0.036, 0.0, 0.0, 0.003]","[0.658, 0.249, 0.071, 0.016, 0.003, 0.003]"
78,27,Morning,"{""0"": 336, ""1"": 28, ""2"": 1}","{""0"": 361, ""1"": 3, ""2"": 1}","[0.921, 0.077, 0.003]","[0.989, 0.008, 0.003]"
79,27,Day,"{""0"": 338, ""1"": 24, ""2"": 3}","{""0"": 331, ""1"": 32, ""2"": 2}","[0.926, 0.066, 0.008]","[0.907, 0.088, 0.005]"
80,27,Evening,"{""0"": 307, ""1"": 46, ""2"": 11, ""3"": 1}","{""0"": 293, ""1"": 65, ""2"": 7}","[0.841, 0.126, 0.03, 0.003]","[0.803, 0.178, 0.019]"
81,28,Morning,"{""0"": 305, ""1"": 53, ""2"": 7}","{""0"": 348, ""1"": 17}","[0.836, 0.145, 0.019]","[0.953, 0.047]"
82,28,Day,"{""0"": 305, ""1"": 54, ""2"": 6}","{""0"": 295, ""1"": 64, ""2"": 5, ""3"": 1}","[0.836, 0.148, 0.016]","[0.808, 0.175, 0.014, 0.003]"
83,28,Evening,"{""0"": 269, ""1"": 74, ""2"": 19, ""3"": 3}","{""0"": 239, ""1"": 95, ""2"": 25, ""3"": 5, ""4"": 1}","[0.737, 0.203, 0.052, 0.008]","[0.655, 0.26, 0.068, 0.014, 0.003]"
84,29,Morning,"{""0"": 245, ""1"": 94, ""2"": 21, ""3"": 4, ""4"": 1}","{""0"": 268, ""1"": 78, ""2"": 16, ""3"": 3}","[0.671, 0.258, 0.058, 0.011, 0.003]","[0.734, 0.214, 0.044, 0.008]"
85,29,Day,"{""0"": 246, ""1"": 88, ""2"": 20, ""3"": 9, ""4"": 1, ""5"": 1}","{""0"": 260, ""1"": 71, ""2"": 25, ""3"": 7, ""4"": 2}","[0.674, 0.241, 0.055, 0.025, 0.003, 0.003]","[0.712, 0.195, 0.068, 0.019, 0.005]"
86,29,Evening,"{""0"": 172, ""1"": 115, ""2"": 45, ""3"": 26, ""4"": 4, ""5"": 3}","{""0"": 169, ""1"": 121, ""2"": 47, ""3"": 19, ""4"": 8, ""5"": 1}","[0.471, 0.315, 0.123, 0.071, 0.011, 0.008]","[0.463, 0.332, 0.129, 0.052, 0.022, 0.003]"
87,30,Morning,"{""0"": 331, ""1"": 33, ""2"": 1}","{""0"": 264, ""1"": 73, ""2"": 27, ""3"": 1}","[0.907, 0.09, 0.003]","[0.723, 0.2, 0.074, 0.003]"
88,30,Day,"{""0"": 297, ""1"": 55, ""2"": 12, ""3"": 1}","{""0"": 302, ""1"": 54, ""2"": 6, ""3"": 3}","[0.814, 0.151, 0.033, 0.003]","[0.827, 0.148, 0.016, 0.008]"
89,30,Evening,"{""0"": 246, ""1"": 81, ""2"": 30, ""3"": 7, ""4"": 1}","{""0"": 285, ""1"": 61, ""2"": 16, ""3"": 3}","[0.674, 0.222, 0.082, 0.019, 0.003]","[0.781, 0.167, 0.044, 0.008]"
90,31,Morning,"{""0"": 327, ""1"": 37, ""2"": 1}","{""0"": 300, ""1"": 57, ""2"": 7, ""3"": 1}","[0.896, 0.101, 0.003]","[0.822, 0.156, 0.019, 0.003]"
91,31,Day,"{""0"": 308, ""1"": 49, ""2"": 6, ""3"": 2}","{""0"": 298, ""1"": 56, ""2"": 10, ""3"": 1}","[0.844, 0.134, 0.016, 0.005]","[0.816, 0.153, 0.027, 0.003]"
92,31,Evening,"{""0"": 265, ""1"": 78, ""2"": 16, ""3"": 5, ""4"": 1}","{""0"": 266, ""1"": 84, ""2"": 14, ""3"": 1}","[0.726, 0.214, 0.044, 0.014, 0.003]","[0.729, 0.23, 0.038, 0.003]"
93,32,Morning,"{""0"": 313, ""1"": 48, ""2"": 4}","{""0"": 345, ""1"": 19, ""2"": 1}","[0.858, 0.132, 0.011]","[0.945, 0.052, 0.003]"
94,32,Day,"{""0"": 309, ""1"": 46, ""2"": 9, ""3"": 1}","{""0"": 319, ""1"": 41, ""2"": 5}","[0.847, 0.126, 0.025, 0.003]","[0.874, 0.112, 0.014]"
95,32,Evening,"{""0"": 244, ""1"": 90, ""2"": 23, ""3"": 7, ""6"": 1, ""4"": 0, ""5"": 0}","{""0"": 217, ""1"": 102, ""2"": 38, ""3"": 6, ""4"": 1, ""5"": 1}","[0.668, 0.247, 0.063, 0.019, 0.0, 0.0, 0.003]","[0.595, 0.279, 0.104, 0.016, 0.003, 0.003]"
