,Zone,Period,Pickup occurences,Delivery occurences
3980,166,20,"{""0"": 351, ""1"": 14}","{""0"": 350, ""1"": 15}"
3981,166,21,"{""0"": 350, ""1"": 15}","{""0"": 358, ""1"": 7}"
3982,166,22,"{""0"": 355, ""1"": 9, ""2"": 1}","{""0"": 360, ""1"": 5}"
3983,166,23,"{""0"": 362, ""1"": 3}","{""0"": 361, ""1"": 4}"
3984,167,0,"{""0"": 348, ""1"": 15, ""2"": 1, ""3"": 1}","{""0"": 355, ""1"": 9, ""2"": 1}"
3985,167,1,"{""0"": 352, ""1"": 11, ""2"": 1, ""3"": 1}","{""0"": 351, ""1"": 12, ""2"": 2}"
3986,167,2,"{""0"": 358, ""1"": 7}","{""0"": 358, ""1"": 7}"
3987,167,3,"{""0"": 359, ""1"": 5, ""2"": 1}","{""0"": 360, ""1"": 4, ""2"": 1}"
3988,167,4,"{""0"": 358, ""1"": 7}","{""0"": 358, ""1"": 6, ""2"": 1}"
3989,167,5,"{""0"": 354, ""1"": 10, ""2"": 1}","{""0"": 359, ""1"": 6}"
3990,167,6,"{""0"": 338, ""1"": 24, ""2"": 3}","{""0"": 329, ""1"": 36}"
3991,167,7,"{""0"": 309, ""1"": 47, ""2"": 8, ""3"": 1}","{""0"": 315, ""1"": 49, ""2"": 1}"
3992,167,8,"{""0"": 304, ""1"": 57, ""2"": 4}","{""0"": 329, ""1"": 32, ""2"": 3, ""3"": 1}"
3993,167,9,"{""0"": 322, ""1"": 40, ""2"": 3}","{""0"": 328, ""1"": 33, ""2"": 4}"
3994,167,10,"{""0"": 313, ""1"": 48, ""2"": 4}","{""0"": 333, ""1"": 27, ""2"": 5}"
3995,167,11,"{""0"": 319, ""1"": 43, ""2"": 2, ""3"": 1}","{""0"": 323, ""1"": 33, ""2"": 9}"
3996,167,12,"{""0"": 319, ""1"": 42, ""2"": 4}","{""0"": 315, ""1"": 42, ""2"": 5, ""3"": 2, ""4"": 1}"
3997,167,13,"{""0"": 310, ""1"": 50, ""2"": 5}","{""0"": 308, ""1"": 51, ""2"": 5, ""3"": 1}"
3998,167,14,"{""0"": 291, ""1"": 64, ""2"": 7, ""3"": 3}","{""0"": 292, ""1"": 63, ""2"": 8, ""3"": 2}"
3999,167,15,"{""0"": 280, ""1"": 72, ""2"": 11, ""3"": 2}","{""0"": 281, ""1"": 73, ""2"": 10, ""3"": 1}"
4000,167,16,"{""0"": 288, ""1"": 68, ""2"": 9}","{""0"": 287, ""1"": 70, ""2"": 8}"
4001,167,17,"{""0"": 299, ""1"": 53, ""2"": 12, ""3"": 1}","{""0"": 286, ""1"": 69, ""2"": 10}"
4002,167,18,"{""0"": 308, ""1"": 48, ""2"": 8, ""3"": 1}","{""0"": 294, ""1"": 61, ""2"": 9, ""3"": 1}"
