,Zone,Nr of charging stations,Lower Left,Upper Right,Center
0,41,4,"   [10.75884045, 59.946066384615385]","   [10.767574475, 59.95060315384615]","   [10.763207462499999, 59.94833476923077]"
1,146,8,"    [10.750106425, 59.91884576923077]","    [10.758840450000001, 59.92338253846154]","    [10.7544734375, 59.921114153846155]"
2,189,10,"    [10.7413724, 59.90977223076923]","    [10.750106425, 59.914308999999996]","    [10.7457394125, 59.91204061538461]"
3,190,3,"    [10.72390435, 59.90977223076923]","    [10.732638375, 59.914308999999996]","    [10.7282713625, 59.91204061538461]"
4,191,10,"    [10.715170324999999, 59.90977223076923]","    [10.72390435, 59.914308999999996]","    [10.7195373375, 59.91204061538461]"
5,204,4,"    [10.61909605, 59.90523546153846]","    [10.627830075, 59.90977223076923]","    [10.6234630625, 59.907503846153844]"
