,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
4837,202,13,"{""0"": 151, ""1"": 121, ""2"": 65, ""3"": 22, ""4"": 4, ""6"": 2, ""5"": 0}","{""0"": 200, ""1"": 127, ""2"": 30, ""3"": 5, ""4"": 1, ""5"": 2}","[0.414, 0.332, 0.178, 0.06, 0.011, 0.0, 0.005]","[0.548, 0.348, 0.082, 0.014, 0.003, 0.005]"
4838,202,14,"{""0"": 137, ""1"": 99, ""2"": 77, ""3"": 34, ""4"": 13, ""5"": 4, ""6"": 1}","{""0"": 185, ""1"": 133, ""2"": 34, ""3"": 10, ""4"": 2, ""5"": 1}","[0.375, 0.271, 0.211, 0.093, 0.036, 0.011, 0.003]","[0.507, 0.364, 0.093, 0.027, 0.005, 0.003]"
4839,202,15,"{""0"": 131, ""1"": 114, ""2"": 60, ""3"": 38, ""4"": 17, ""5"": 4, ""6"": 1}","{""0"": 208, ""1"": 112, ""2"": 32, ""3"": 9, ""4"": 4}","[0.359, 0.312, 0.164, 0.104, 0.047, 0.011, 0.003]","[0.57, 0.307, 0.088, 0.025, 0.011]"
4840,202,16,"{""0"": 156, ""1"": 105, ""2"": 68, ""3"": 26, ""4"": 6, ""5"": 3, ""6"": 1}","{""0"": 224, ""1"": 95, ""2"": 35, ""3"": 7, ""4"": 3, ""5"": 1}","[0.427, 0.288, 0.186, 0.071, 0.016, 0.008, 0.003]","[0.614, 0.26, 0.096, 0.019, 0.008, 0.003]"
4841,202,17,"{""0"": 173, ""1"": 111, ""2"": 53, ""3"": 16, ""4"": 7, ""5"": 3, ""6"": 2}","{""0"": 216, ""1"": 97, ""2"": 36, ""3"": 12, ""5"": 4, ""4"": 0}","[0.474, 0.304, 0.145, 0.044, 0.019, 0.008, 0.005]","[0.592, 0.266, 0.099, 0.033, 0.0, 0.011]"
4842,202,18,"{""0"": 180, ""1"": 112, ""2"": 50, ""3"": 21, ""4"": 2}","{""0"": 222, ""1"": 97, ""2"": 31, ""3"": 11, ""4"": 3, ""5"": 1}","[0.493, 0.307, 0.137, 0.058, 0.005]","[0.608, 0.266, 0.085, 0.03, 0.008, 0.003]"
4843,202,19,"{""0"": 216, ""1"": 102, ""2"": 37, ""3"": 10}","{""0"": 231, ""1"": 91, ""2"": 33, ""3"": 9, ""4"": 1}","[0.592, 0.279, 0.101, 0.027]","[0.633, 0.249, 0.09, 0.025, 0.003]"
4844,202,20,"{""0"": 254, ""1"": 90, ""2"": 13, ""3"": 6, ""4"": 1, ""5"": 1}","{""0"": 242, ""1"": 97, ""2"": 21, ""3"": 2, ""4"": 2, ""6"": 1, ""5"": 0}","[0.696, 0.247, 0.036, 0.016, 0.003, 0.003]","[0.663, 0.266, 0.058, 0.005, 0.005, 0.0, 0.003]"
4845,202,21,"{""0"": 245, ""1"": 90, ""2"": 23, ""3"": 5, ""4"": 1, ""5"": 1}","{""0"": 271, ""1"": 72, ""2"": 19, ""3"": 2, ""4"": 1}","[0.671, 0.247, 0.063, 0.014, 0.003, 0.003]","[0.742, 0.197, 0.052, 0.005, 0.003]"
4846,202,22,"{""0"": 268, ""1"": 80, ""2"": 14, ""3"": 3}","{""0"": 296, ""1"": 61, ""2"": 8}","[0.734, 0.219, 0.038, 0.008]","[0.811, 0.167, 0.022]"
